IdVehiculo;Serial;Marca;Modelo;Asientos;Motor;Año;Tipo vehiculo;Gpo. estatus;Uso;Estatus;Combustible;Eco;Placas;Placas federales;Descripcion;aire;jala;mochila;conversion/reparacion;reinsidente;Columna1
15278;3HBBZTBN2SL365172;International;Zafiro;41;Y1A077087;2025;Camion;Activo;Operaciones;Operando;Diesel;13268;;43RE4F;ABB ELECTRICAL CONTROL SYSTEMS;si;si;si;na;si;
10472;3HBBZTBNXNL448319;International;Zafiro;41;Y1A054492;2022;Camion;Activo;Operaciones;Operando;Diesel;9812;A20462R;27RC7F;WOLONG;;;;;;
7760;3HBBZSGN4LL264414;International;Reco;41;U1A009666;2020;Camion;Activo;Operaciones;Operando;Diesel;7962;;23RB3V;CELESTICA APODACA;;;;;;
6301;3HBBZSEN8KL664316;International;Reco;41;Y1A038998;2019;Camion;Activo;Operaciones;Operando;Diesel;6566;;82RB4B;;;;;;;
6419;9BWDB45UXJT065426;Volkswagen;Gol;5;CFZ S97030;2018;Automóvil;Activo;Utilitario;Operando;Gasolina Magna;9955;FMF8566;;UTILITARIOS LIPU MTY;;;;;;
13464;3HBBZTBN9PL485719;International;Zafiro;41;Y1A071863;2023;Camion;Activo;Operaciones;Operando;Diesel;11873;;91RD2S;DONG KOOK MTY;;;;;;
15354;3MBAA2DP2RM082629;Mercedes benz;Zafiro;41;924982U1451010;2024;Camion;Activo;Operaciones;Operando;Diesel;13344;;56RE5F;ABB ELECTRICAL CONTROL SYSTEMS;si;si;si;na;no;
10992;3HBBZTBN6NL316996;International;Zafiro;41;Y1A057703;2022;Camion;Activo;Operaciones;Operando;Diesel;10222;A20782R;56RC2R;CELESTICA APODACA;;;;;;
9704;3MBAA2DP1MM074479;Mercedes benz;Zafiro;41;924982U1307272;2021;Camion;Activo;Operaciones;Operando;Diesel;9197;;55RC9C;GLOBAL FM;;;;;;
6417;9BWDB45UXJT064017;Volkswagen;Gol;5;CFZ S95883;2018;Automóvil;Inactivo;Utilitario;Siniestro;Gasolina Magna;9953;F68ATN;;EN VALUACIÓN CON LA ASEGURADORA;;;;;;
13484;3HBBZTBN4PL485708;International;Zafiro;41;Y1A072473;2023;Camion;Activo;Operaciones;Operando;Diesel;11893;;79RD1S;SIEMENS;;;;;;
8949;3MBAA6DN5DM046433;Mercedes benz;Torino;41;9,06999E+13;2013;Camion;Baja;Operaciones;Vendido;Diesel;8460;A-15661-R;;UNIDADE RENTADA DEVUELTA;;;;;;
11067;3HBBZTBN4NL352122;International;Zafiro;41;Y1A057400;2022;Camion;Activo;Operaciones;Operando;Diesel;10294;A20877R;70RC1M;LIXIL;;;;;;
13165;3HBBZTBN9PL514006;International;Zafiro;41;Y1A068938;2023;Camion;Activo;Operaciones;Operando;Diesel;11574;;76RD5M;SIEMENS;;;;;;
15061;3HBBZTBN7RL226567;International;Zafiro;41;Y1A076830;2024;Camion;Activo;Operaciones;Operando;Diesel;13111;;61RE8E;ABB ELECTRICAL CONTROL SYSTEMS;si;si;si;na;si;
15233;3HBBZTBN5SL358457;International;Zafiro;41;Y1A076510;2025;Camion;Activo;Operaciones;Operando;Diesel;13237;;61RE1F;ABB ELECTRICAL CONTROL SYSTEMS;si;si;si;na;si;
12933;3MBAA2DP5PM077874;Mercedes benz;Zafiro;41;924982U1391381;2023;Camion;Activo;Operaciones;Operando;Diesel;11347;A29838R;16RD3S;KAYAKU SAFETY;;;;;;
15439;3HBBZTBN3SL358456;International;Zafiro;41;Y1A076512;2025;Camion;Activo;Operaciones;Operando;Diesel;13426;;33RE6F;SIEMENS;;;;;;
14222;3HBBZTBNXRL195492;International;Zafiro;41;Y1A075937;2024;Camion;Activo;Operaciones;Operando;Diesel;12528;A25366R;76RD7Z;SIEMENS;;;;;;
5896;3HBBZSEN7KL573750;International;Reco;41;Y1A038199;2019;Camion;Activo;Operaciones;Operando;Diesel;6168;;50-RB-6A;AZTEK;si;si;si;na;no;
9687;3MBAA2DP4MM074489;Mercedes benz;Zafiro;41;924982U1306873;2021;Camion;Activo;Operaciones;Operando;Diesel;9180;;53RC9C;WOLONG;;;;;;
14270;3HBBZTBN6RL670930;International;Zafiro;41;Y1A075941;2024;Camion;Activo;Operaciones;Operando;Diesel;12576;A25726R;64RD7Z;PLASMAN;;;;;;
12495;JTFSX23P8J6189575;Toyota;Hiace;15;2TR9154360;2018;Camioneta;Baja;Operaciones;Vendido;Gasolina Magna;10999;A-18092-R;;TALLER;;;;;;
9183;JTFSX23P4J6186978;Toyota;Hiace;15;2TR9146369;2018;Camioneta;Baja;Operaciones;Vendido;Gasolina Magna;8691;;A18044R;UNIDAD RENTADA;;;;;;
15587;3HBBZTBN0SL637475;International;Zafiro;41;Y1A076714;2025;Camion;Activo;Operaciones;Operando;Diesel;13572;;01RC1F;VERTIV MONTERREY;;;;;;
13466;3HBBZTBN6PL489078;International;Zafiro;41;Y1A066244;2023;Camion;Activo;Operaciones;Operando;Diesel;11875;;89RD2S;VERTIV MONTERREY;;;;;;
14855;3MN2E82W5RD301575;Volkswagen;Ayco;41;0166725A396718;2024;Camion;Activo;Operaciones;Operando;Diesel;12926;A26444R;47RE6B;VERTIV MONTERREY;;;;;;
15393;3MN2E82W9RD301949;Volkswagen;Ayco;41;0166787A136780;2024;Camion;Activo;Operaciones;Operando;Diesel;13383;;55RE4F;NIDEC-CMD;;;;;;
5018;3HBBZSEN5HL473753;International;Zafiro;41;Y1A032708;2017;Camion;Activo;Operaciones;Operando;Diesel;5306;A21960R;57RA9G;;;;;;;
10051;JN1BE6DS3L9036311;Nissan;Urvan;15;;2020;Camioneta;Baja;Operaciones;Vendido;Gasolina Magna;9504;A19705R;;UNIDAD RENTADA;;;;;;
16149;3HBBZTBN3SL571343;International;Zafiro;41;Y1A077413;2025;Camion;Activo;Operaciones;Operando;Diesel;14095;A29835R;80RE6N;CELESTICA APODACA;;;;;;
10095;WD3YE8A92FP163906;Mercedez Benz;Sprinter;15;;2015;Camioneta;Baja;Operaciones;Vendido;Diesel;9548;A19288R;;UNIDAD RENTADA DEVUELTA;;;;;;
9724;3MBAASDSXJM066517;Mercedes benz;Torino;41;;2018;Camion;Baja;Operaciones;Vendido;Diesel;9217;229741R;;UNIDAD RENTADA DEVUELTA;;;;;;
13482;3MN2E82WXPD301004;Volkswagen;Ayco;45;0166341A276338;2023;Camion;Activo;Operaciones;Operando;Diesel;11891;;07RD7M;LIXIL;;;;;;
13126;3MN2E82W3PD301006;Volkswagen;Ayco;45;0166341A136338;2023;Camion;Activo;Operaciones;Operando;Diesel;11535;A22521R;82RC5X;VERTIV MONTERREY;;;;;;
11120;3MBAA2DM4FM053120;Mercedes benz;Zafiro;43;924933C1073606;2014;Camion;Baja;Operaciones;Vendido;Diesel;10347;226-018-R;;UNIDAD RENTADA 2015 DEVUELTA;;;;;;
7031;WD3YF1A97KP634270;Mercedes benz;Sprinter;21;6,51955E+13;2019;Camioneta;Activo;Operaciones;Mantenimiento;Diesel;7273;;48RB2C;IAC;;;;;;
9709;3MBAA2DP9MM074505;Mercedes benz;Zafiro;41;924982U1309111;2021;Camion;Activo;Operaciones;Operando;Diesel;9202;;60RC9C;SIEMENS;;;;;;
5016;3HBBZSEN1HL473751;International;Zafiro;41;Y1A032702;2017;Camion;Activo;Operaciones;Operando;Diesel;5304;A21957R;59RA9G;CAPACITACION;;;;;;
15494;3HBBZTBN5SL362010;International;Zafiro;41;Y1A076850;2025;Camion;Activo;Operaciones;Operando;Diesel;13479;;24RE6F;NIDEC-USEM;;;;;;
16008;W1Y5KD3Z2RP660204;Mercedes benz;Sprinter;22;6,54921E+13;2024;Camioneta;Activo;Operaciones;Operando;Diesel;13963;A28414R;44RE7L;UDEM  CIRCUITOS;;;;;;
8766;3MBAA6DN8FM053881;Mercedes benz;Torino;41;;2015;Camion;Baja;Operaciones;Vendido;Diesel;8316;;252HY1;UNIDAD RENTADA DEVUELTA;;;;;;
10601;3MBAA6DN5DM046643;Mercedes benz;Torino;41;9,06999E+13;2013;Camion;Baja;Operaciones;Vendido;Diesel;9916;;;UNIDAD RENTADA DEVUELTA;;;;;;
15936;W1Y5KD3Z3RP658753;Mercedes benz;Sprinter;22;6,54921E+13;2024;Camioneta;Activo;Operaciones;Operando;Diesel;13892;A28415R;40RE7L;UDEM  CIRCUITOS;;;;;;
8762;JN1BE6DS4K9033867;Nissan;Urvan;15;;2019;Camioneta;Baja;Operaciones;Vendido;Gasolina Magna;8312;A18157R;;UNIDAD RENTADA DEVUELTA;;;;;;
14213;3HBBZTBN2RL670939;International;Zafiro;41;Y1A075933;2024;Camion;Activo;Operaciones;Operando;Diesel;12519;A25363R;82RD7Z;SIEMENS;;;;;;
16161;3HBBZTBN1SL592062;International;Zafiro;41;Y1A077664;2025;Camion;Activo;Operaciones;Operando;Diesel;14107;;84RE6N;CELESTICA AGUA FRIA;;;;;;
16152;3HBBZTBN5SL648858;International;Zafiro;41;Y1A077228;2025;Camion;Activo;Operaciones;Operando;Diesel;14098;;73RE6N;CELESTICA APODACA;;;;;;
16150;3HBBZTBN5SL648682;International;Zafiro;41;Y1A077283;2025;Camion;Activo;Operaciones;Operando;Diesel;14096;A29842R;74RE6N;CELESTICA APODACA;;;;;;
13348;3MN2E82W9PD301091;Volkswagen;Ayco;45;0166360B026354;2023;Camion;Activo;Operaciones;Operando;Diesel;11757;;52RD2S;WOLONG;;;;;;
7913;3HBBZSEN2LL256928;International;Reco;41;Y1A042486;2020;Camion;Activo;Operaciones;Operando;Diesel;8114;;77RB6V;DONG KOOK MTY;;;;;;
7883;3HBBZSGN6LL264169;International;Reco;41;U1A009708;2020;Camion;Activo;Operaciones;Operando;Diesel;8085;;07RB6V;OWENS CORNING;;;;;;
9509;9BSK4X202E3844699;Scania;No Especificado;41;8230771;2014;Camion;Baja;Operaciones;Vendido;Diesel;9002;;086RN6;UNIDAD RENTADA DEVUELTA;;;;;;
